# Step  Time  Energy
     1      0.0100  -1.49780593E+02
     2      0.0200  -1.55458106E+02
     3      0.0300  -2.27881785E+02
     4      0.0400  -3.23916165E+02
     5      0.0500  -2.43990845E+02
     6      0.0600  -7.78679675E+01
     7      0.0700  -1.21399257E+02
     8      0.0800  -1.71164640E+02
     9      0.0900  -1.58243611E+02
    10      0.1000  -5.33357105E+01
    11      0.1100  -5.45015519E+01
    12      0.1200   8.82933141E+00
    13      0.1300  -1.12481492E+02
    14      0.1400  -1.01330619E+02
    15      0.1500  -1.77829816E+02
    16      0.1600  -1.64233470E+01
    17      0.1700  -1.50803348E+02
    18      0.1800  -2.65297876E+01
    19      0.1900  -1.29357121E+02
    20      0.2000  -1.32068333E+02
    21      0.2100  -1.97915883E+01
    22      0.2200  -2.20243029E+02
    23      0.2300  -2.59510906E+02
    24      0.2400  -2.26414378E+02
    25      0.2500  -1.64763183E+02
    26      0.2600  -1.31833277E+02
    27      0.2700  -1.37229637E+02
    28      0.2800  -1.95877164E+02
    29      0.2900  -1.82557805E+02
    30      0.3000  -8.89856383E+01
    31      0.3100  -2.96579425E+02
    32      0.3200  -9.66462892E+01
    33      0.3300  -6.05428791E+01
    34      0.3400  -9.44861121E+01
    35      0.3500  -1.65299592E+02
    36      0.3600  -1.37135419E+02
    37      0.3700  -1.42078380E+02
    38      0.3800  -1.79852787E+02
    39      0.3900  -3.62913362E+02
    40      0.4000  -7.96094284E+01
    41      0.4100  -1.40889711E+02
    42      0.4200  -3.59318858E+01
    43      0.4300  -9.67860127E+01
    44      0.4400  -1.25260624E+02
    45      0.4500  -1.75370739E+02
    46      0.4600  -6.66621707E+01
    47      0.4700  -1.19709269E+02
    48      0.4800  -2.42528908E+02
    49      0.4900  -3.82414770E+01
    50      0.5000  -1.26754933E+02
    51      0.5100  -2.01383935E+02
    52      0.5200  -1.92770158E+02
    53      0.5300  -1.41486003E+02
    54      0.5400   4.89241819E+01
    55      0.5500  -9.49454711E+01
    56      0.5600  -1.14108287E+02
    57      0.5700   5.10065787E+01
    58      0.5800  -5.78484923E+01
    59      0.5900  -1.21958817E+02
    60      0.6000  -1.61337026E+02
    61      0.6100  -1.69998318E+02
    62      0.6200  -6.87924427E+01
    63      0.6300  -8.03312549E+01
    64      0.6400  -1.62050211E+02
    65      0.6500  -9.10994666E+01
    66      0.6600  -9.11799736E+01
    67      0.6700  -6.32742648E+01
    68      0.6800  -8.25592901E+01
    69      0.6900  -8.51834113E+01
    70      0.7000   2.27561436E+02
    71      0.7100  -1.20946117E+01
    72      0.7200  -1.25433641E+02
    73      0.7300  -8.91397078E+01
    74      0.7400  -1.71910231E+02
    75      0.7500  -7.37733478E+01
    76      0.7600  -8.58455489E+01
    77      0.7700  -2.12738188E+02
    78      0.7800  -9.33806308E+01
    79      0.7900  -1.19398150E+02
    80      0.8000  -5.78832824E+01
    81      0.8100  -1.03908760E+02
    82      0.8200  -7.96054195E+00
    83      0.8300  -4.73739039E+01
    84      0.8400  -2.23073627E+02
    85      0.8500  -1.55300566E+02
    86      0.8600  -1.60501121E+02
    87      0.8700  -1.29010641E+02
    88      0.8800  -1.36591025E+01
    89      0.8900  -3.26683437E+01
    90      0.9000  -8.17205518E+01
    91      0.9100  -2.12366722E+02
    92      0.9200  -5.99676191E+01
    93      0.9300  -6.87081933E+01
    94      0.9400  -1.53612856E+02
    95      0.9500  -1.17210236E+02
    96      0.9600  -1.12949537E+02
    97      0.9700  -2.40812569E+02
    98      0.9800  -1.26285887E+02
    99      0.9900  -3.78248042E+02
   100      1.0000   5.57496776E+01
   101      1.0100  -9.02907444E+01
   102      1.0200  -1.29282871E+02
   103      1.0300  -6.49745397E+01
   104      1.0400  -7.77465973E+01
   105      1.0500  -1.59154245E+02
   106      1.0600  -2.10493937E+02
   107      1.0700  -2.26349862E+02
   108      1.0800  -1.28418842E+02
   109      1.0900  -2.12785229E+02
   110      1.1000  -6.09062642E+01
   111      1.1100  -7.54941583E+01
   112      1.1200  -1.99403330E+02
   113      1.1300   2.05172212E+02
   114      1.1400  -6.30324629E+01
   115      1.1500  -1.18574198E+02
   116      1.1600  -1.23318738E+02
   117      1.1700  -2.57101642E+01
   118      1.1800  -1.86668411E+02
   119      1.1900  -1.86151146E+02
   120      1.2000  -1.92177581E+02
   121      1.2100  -8.89377857E+01
   122      1.2200  -7.48079387E+01
   123      1.2300  -1.38048762E+02
   124      1.2400  -1.41684696E+02
   125      1.2500  -2.41463630E+02
   126      1.2600  -7.91094332E+01
   127      1.2700  -1.94224693E+02
   128      1.2800  -2.07803188E+02
   129      1.2900  -6.52886804E+01
   130      1.3000  -4.98771914E+02
   131      1.3100  -7.34233361E+01
   132      1.3200  -8.39271443E+01
   133      1.3300  -1.90690397E+02
   134      1.3400   2.61236997E+01
   135      1.3500  -9.03087830E+01
   136      1.3600  -8.30534079E+01
   137      1.3700  -1.81956593E+02
   138      1.3800  -5.35853238E+01
   139      1.3900  -1.31208657E+02
   140      1.4000  -9.93077741E+01
   141      1.4100  -2.42269616E+02
   142      1.4200  -2.71605246E+02
   143      1.4300  -9.85313335E+01
   144      1.4400  -2.21480732E+02
   145      1.4500  -1.47859099E+02
   146      1.4600  -1.55295725E+02
   147      1.4700  -1.89655613E+02
   148      1.4800  -7.14459082E+01
   149      1.4900   1.71145589E+00
   150      1.5000  -5.47205405E+01
   151      1.5100  -1.40585457E+02
   152      1.5200  -1.71264017E+02
   153      1.5300  -1.30503856E+02
   154      1.5400  -4.30802181E+01
