x,y,charge
     0.69383853,    -0.43444743,    -1.00000000
     0.62207400,     0.29415689,     1.00000000
    -0.99698938,     0.20623263,    -1.00000000
     0.97764067,    -0.09365237,     1.00000000
    -0.78776955,    -0.39530949,    -1.00000000
    -0.41583926,    -0.65787396,     1.00000000
     0.31953998,    -0.72712731,    -1.00000000
     0.06973634,     0.31262315,     1.00000000
     0.19671690,    -0.82701891,    -1.00000000
    -0.63840986,    -0.84696227,     1.00000000
     0.23830499,     0.58159186,    -1.00000000
     0.83000920,     0.01709853,     1.00000000
    -0.44723092,     0.76443544,    -1.00000000
    -0.88167416,    -0.47191098,     1.00000000
     0.20184736,    -0.37419195,    -1.00000000
    -0.80277873,    -0.34521777,     1.00000000
    -0.46796650,     0.99498490,    -1.00000000
    -0.19243973,     0.17625425,     1.00000000
     0.68658388,     0.34829487,    -1.00000000
    -0.78437531,     0.47024330,     1.00000000
    -0.71108247,     0.26058588,    -1.00000000
    -0.92432056,    -0.14404840,     1.00000000
    -0.88150596,     0.02934793,    -1.00000000
     0.12458006,     0.80592480,     1.00000000
     0.61112645,    -0.18212825,    -1.00000000
     0.41008680,    -0.24996160,     1.00000000
     0.32049561,    -0.01767853,    -1.00000000
     0.16531051,    -0.01058172,     1.00000000
     0.69964505,    -0.62882810,    -1.00000000
    -0.88678367,    -0.97987086,     1.00000000
     0.26163450,     0.16483330,    -1.00000000
    -0.43750791,    -0.22017012,     1.00000000
     0.82093224,     0.33797901,    -1.00000000
     0.97265670,    -0.90362511,     1.00000000
    -0.10952722,    -0.80291707,    -1.00000000
    -0.24130857,    -0.58785700,     1.00000000
    -0.68142037,    -0.11798382,    -1.00000000
     0.80480772,     0.81436831,     1.00000000
     0.31217449,    -0.31839819,    -1.00000000
     0.45824152,     0.33358251,     1.00000000
    -0.88611783,    -0.43197014,    -1.00000000
     0.69163631,    -0.33619412,     1.00000000
     0.34270097,     0.46453051,    -1.00000000
     0.15161507,    -0.42942245,     1.00000000
    -0.56959115,     0.46482502,    -1.00000000
    -0.93636055,    -0.72845315,     1.00000000
    -0.06492726,     0.42628239,    -1.00000000
     0.14401779,    -0.39322080,     1.00000000
    -0.29350048,     0.02018582,    -1.00000000
    -0.06151295,     0.84120139,     1.00000000
